"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Bosanquet Avenue Prospect SA 5082",245000,2000-07-13,613,145,"",0,0,0,0,0
"Bosanquet Avenue Prospect SA 5082",416500,2001-11-28,735,200," 2 Ensuites",0,0,0,0,2
"Bosanquet Avenue Prospect SA 5082",320000,2000-10-26,613,158," 3 Beds, 2 Baths",3,2,0,0,0
"Bosanquet Avenue Prospect SA 5082",188945,2000-12-20,664,127," 4 Beds, 2 Baths",4,2,0,0,0
"Bosanquet Avenue Prospect SA 5082",75000,2003-02-06,512,152,"",0,0,0,0,0
"Bosanquet Avenue Prospect SA 5082",180000,2000-09-19,613,115," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Boyle Street Prospect SA 5082",165000,2002-02-08,287,119," 2 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",2,1,2,1,0
"Boyle Street Prospect SA 5082",327000,2003-02-14,961,202," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Bradford Street Prospect SA 5082",195000,2001-04-06,262,89," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Braund Road Prospect SA 5082",145000,2003-02-20,600,116," 2 Beds",2,0,0,0,0
"Braund Road Prospect SA 5082",591000,2000-05-19,1368,278," 1 Ensuites",0,0,0,0,1
"Braund Road Prospect SA 5082",281000,2001-06-29,291,172," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,2,1,1
"Braund Road Prospect SA 5082",275000,2000-07-26,660,160,"",0,0,0,0,0
"Braund Road Prospect SA 5082",305000,2002-01-11,722,166," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Braund Road Prospect SA 5082",260000,2001-07-31,766,153,"",0,0,0,0,0
"Braund Road Prospect SA 5082",208000,2001-02-14,360,110," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Braund Road Prospect SA 5082",222000,2000-04-19,717,125,"",0,0,0,0,0
"Braund Road Prospect SA 5082",278000,2002-03-14,640,190," 4 Beds, 2 Baths",4,2,0,0,0
"Braund Road Prospect SA 5082",187000,2000-05-25,304,133," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Braund Road Prospect SA 5082",216500,2002-02-28,640,105," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",3,2,2,1,0
"Buller Street Prospect SA 5082",360250,2003-06-05,518,135,"",0,0,0,0,0
"Buller Street Prospect SA 5082",425000,2003-10-17,518,151,"",0,0,0,0,0
"Buller Street Prospect SA 5082",575000,2003-06-24,518,200," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Buller Street Prospect SA 5082",240000,2002-11-26,518,125,"",0,0,0,0,0
"Buller Street Prospect SA 5082",150000,2001-11-14,518,162," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Camroc Avenue Prospect SA 5082",15200,2000-12-13,731,124,"",0,0,0,0,0
"Camroc Avenue Prospect SA 5082",40609,2002-06-02,731,125,"",0,0,0,0,0
"Camroc Avenue Prospect SA 5082",159100,2001-03-27,731,129," 2 Beds, 2 Baths, 2 Lock Up Garages",2,2,0,2,0
"Camroc Avenue Prospect SA 5082",360000,2003-06-27,848,117," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Camroc Avenue Prospect SA 5082",110000,2000-01-28,731,92,"",0,0,0,0,0
"Camroc Avenue Prospect SA 5082",207000,2002-05-17,351,146," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"Carter Street Prospect SA 5082",325000,2002-03-06,630,220,"",0,0,0,0,0
"Carter Street Prospect SA 5082",160000,2000-05-23,198,110," 2 Beds, 1 Baths",2,1,0,0,0
"Castle Avenue Prospect SA 5082",91500,2000-04-05,706,120,"",0,0,0,0,0
"Charles Street Prospect SA 5082",193000,2001-12-23,425,114," 3 Beds",3,0,0,0,0
"Charles Street Prospect SA 5082",301500,2002-05-08,719,137," 3 Beds, 1 Baths",3,1,0,0,0
"Charles Street Prospect SA 5082",290000,2001-10-12,719,166," 3 Beds, 1 Baths",3,1,0,0,0
"Charles Street Prospect SA 5082",247000,2002-07-01,719,96," 2 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",2,1,2,1,0
"Charles Street Prospect SA 5082",195000,2000-03-27,719,114," 3 Beds, 2 Baths",3,2,0,0,0
"Charles Street Prospect SA 5082",340000,2003-05-02,719,153," 4 Beds, 1 Baths",4,1,0,0,0
"Charles Street Prospect SA 5082",286000,2003-08-02,719,98," 3 Beds",3,0,0,0,0
"Charles Street Prospect SA 5082",220000,2000-12-18,692,152,"",0,0,0,0,0
"Chevalier Street Prospect SA 5082",368000,2003-07-11,696,122,"",0,0,0,0,0
"Churchill Road Prospect SA 5082",241000,2001-11-23,669,145," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Churchill Road Prospect SA 5082",254000,2003-11-25,459,110," 3 Beds, 1 Baths, 1 Car Spaces, 1 Ensuites",3,1,1,0,1
"Churchill Road Prospect SA 5082",160000,2002-09-13,919,100," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Churchill Road Prospect SA 5082",277288,2002-01-22,623,140,"",0,0,0,0,0
"Churchill Road Prospect SA 5082",105500,2003-06-03,63,60," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Churchill Road Prospect SA 5082",205000,2002-07-10,629,170," 4 Beds, 1 Lock Up Garages",4,0,0,1,0
"Churchill Road Prospect SA 5082",235000,2003-09-05,710,130," 3 Beds",3,0,0,0,0
"Churchill Road Prospect SA 5082",232000,2003-05-23,650,127," 3 Beds, 2 Lock Up Garages",3,0,0,2,0
"Churchill Road Prospect SA 5082",199000,2003-07-28,696,93," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Churchill Road Prospect SA 5082",120000,2002-06-21,660,120," 3 Beds, 1 Baths, 2 Car Spaces, 4 Lock Up Garages",3,1,2,4,0
"Churchill Road Prospect SA 5082",77000,2001-10-12,419,74," 2 Beds, 1 Baths, 3 Car Spaces, 3 Lock Up Garages",2,1,3,3,0
"Clifford Street Prospect SA 5082",282000,2002-05-09,802,130," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Clifford Street Prospect SA 5082",160000,2003-12-23,648,111," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Clifford Street Prospect SA 5082",136000,2000-02-18,646,120," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Clifford Street Prospect SA 5082",220000,2000-10-12,664,136," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Clifford Street Prospect SA 5082",171500,2000-11-27,645,121,"",0,0,0,0,0
"Clifton Street Prospect SA 5082",251000,2002-03-22,526,174," 4 Beds, 1 Baths, 1 Car Spaces",4,1,1,0,0
"Clifton Street Prospect SA 5082",573500,2002-08-23,736,314," 5 Beds, 3 Baths, 1 Ensuites",5,3,0,0,1
"Clifton Street Prospect SA 5082",395025,2003-09-17,514,169," 4 Beds, 2 Baths, 1 Ensuites",4,2,0,0,1
"Clifton Street Prospect SA 5082",297600,2002-06-25,514,140," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Clifton Street Prospect SA 5082",350000,2001-01-05,514,170," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Clifton Street Prospect SA 5082",420300,2002-01-22,526,156,"",0,0,0,0,0
"Clifton Street Prospect SA 5082",372000,2001-08-09,514,175,"",0,0,0,0,0
"Clifton Street Prospect SA 5082",341500,2002-07-11,622,155," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Clifton Street Prospect SA 5082",326000,2000-11-17,976,170," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Clifton Street Prospect SA 5082",230000,2001-02-12,622,115,"",0,0,0,0,0
"Clifton Street Prospect SA 5082",402000,2003-04-30,628,150," 3 Beds, 1 Baths",3,1,0,0,0
"Clifton Street Prospect SA 5082",441000,2002-06-04,855,222," 4 Beds, 3 Baths, 5 Car Spaces, 1 Ensuites",4,3,5,0,1
"Clifton Street Prospect SA 5082",241000,2002-05-30,378,110," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Cochrane Terrace Prospect SA 5082",220000,2000-12-20,541,110,"",0,0,0,0,0
"College Avenue Prospect SA 5082",250000,2002-04-08,461,135," 3 Beds, 3 Baths, 3 Car Spaces, 3 Lock Up Garages, 1 Ensuites",3,3,3,3,1
"College Avenue Prospect SA 5082",251000,2001-12-17,506,137," 3 Beds, 1 Baths",3,1,0,0,0
"College Avenue Prospect SA 5082",280500,2002-07-04,506,150," 3 Beds",3,0,0,0,0
"College Avenue Prospect SA 5082",290000,2003-05-30,506,115," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"College Avenue Prospect SA 5082",196800,2000-04-10,501,115," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"College Avenue Prospect SA 5082",258000,2001-08-21,506,120," 3 Beds, 2 Baths",3,2,0,0,0
"Da Costa Avenue Prospect SA 5082",301000,2002-11-06,501,167," 3 Beds, 2 Baths",3,2,0,0,0
"Da Costa Avenue Prospect SA 5082",145000,2000-10-12,473,131," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Da Costa Avenue Prospect SA 5082",262538,2001-08-07,501,111,"",0,0,0,0,0
"Da Costa Avenue Prospect SA 5082",255000,2002-08-22,515,120," 3 Beds, 1 Baths",3,1,0,0,0
"Daphne Street Prospect SA 5082",227000,2000-07-10,981,130,"",0,0,0,0,0
"Daphne Street Prospect SA 5082",245000,2001-08-27,419,140,"",0,0,0,0,0
"Devonport Terrace Prospect SA 5082",180000,2003-02-07,878,75," 2 Beds, 2 Baths, 3 Car Spaces, 1 Lock Up Garages, 1 Ensuites",2,2,3,1,1
"Devonport Terrace Prospect SA 5082",190000,2003-02-11,623,88," 2 Beds, 1 Car Spaces, 1 Lock Up Garages",2,0,1,1,0
"Devonport Terrace Prospect SA 5082",240000,2003-01-28,640,142," 4 Beds, 1 Baths, 2 Car Spaces",4,1,2,0,0
"Devonport Terrace Prospect SA 5082",2e+05,2002-10-09,656,100," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Devonport Terrace Prospect SA 5082",142500,2001-02-28,711,110," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Doreen Street Prospect SA 5082",330000,2003-05-09,700,130," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Dudley Avenue Prospect SA 5082",272000,2003-11-25,402,145," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Dudley Avenue Prospect SA 5082",180000,2002-03-07,645,145,"",0,0,0,0,0
"Elizabeth Street Prospect SA 5082",360000,2003-12-29,579,120," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",4,1,2,2,0
