"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Syren Court Athelstone SA 5076",417000,2005-08-19,1099,187," 4 Beds, 2 Baths, 5 Car Spaces, 1 Ensuites",4,2,5,0,1
"Tabitha Drive Athelstone SA 5076",202000,2001-06-29,564,150," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
"Tabitha Drive Athelstone SA 5076",179400,2000-02-28,564,149," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Tabitha Drive Athelstone SA 5076",238500,2003-06-12,560,164," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Tabitha Drive Athelstone SA 5076",155000,2000-03-06,563,142,"",0,0,0,0,0
"Telethon Avenue Athelstone SA 5076",145000,2001-07-16,741,125," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Telethon Avenue Athelstone SA 5076",336000,2005-01-18,860,200," 4 Beds, 2 Baths, 4 Car Spaces, 8 Lock Up Garages",4,2,4,8,0
"Telethon Avenue Athelstone SA 5076",232000,2003-09-12,875,118," 3 Beds, 1 Baths",3,1,0,0,0
"Telopea Drive Athelstone SA 5076",375000,2000-10-12,2343,324," 7 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",7,3,2,2,1
"Telopea Drive Athelstone SA 5076",655000,2005-06-16,2586,308," 4 Beds, 3 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,3,1,2,1
"Tenneal Street Athelstone SA 5076",285000,2005-12-16,565,143," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"The Dress Circle Athelstone SA 5076",390000,2001-08-10,559,287," 1 Ensuites",0,0,0,0,1
"The Dress Circle Athelstone SA 5076",335000,2001-11-15,740,245," 3 Beds, 1 Ensuites",3,0,0,0,1
"The Dress Circle Athelstone SA 5076",640000,2004-07-16,850,450," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"The Glen Athelstone SA 5076",285000,2001-12-14,597,247,"",0,0,0,0,0
"The Glen Athelstone SA 5076",322000,2004-06-03,565,168," 5 Beds, 2 Baths, 1 Ensuites",5,2,0,0,1
"Tom Packer Drive Athelstone SA 5076",208000,2002-02-15,436,159," 3 Beds, 1 Lock Up Garages, 1 Ensuites",3,0,0,1,1
"Tom Packer Drive Athelstone SA 5076",262000,2003-06-17,441,129," 1 Ensuites",0,0,0,0,1
"Tom Packer Drive Athelstone SA 5076",180000,2000-12-15,396,149," 1 Ensuites",0,0,0,0,1
"Tom Packer Drive Athelstone SA 5076",580000,2005-07-22,663,347," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Tom Packer Drive Athelstone SA 5076",550000,2005-10-14,712,279," 4 Beds, 1 Baths, 1 Ensuites",4,1,0,0,1
"Torrensview Road Athelstone SA 5076",156000,2000-05-05,599,139,"",0,0,0,0,0
"Torrensview Road Athelstone SA 5076",295000,2002-11-07,838,227," 4 Beds, 3 Baths, 1 Car Spaces, 1 Ensuites",4,3,1,0,1
"Victoria Avenue Athelstone SA 5076",387500,2004-11-17,840,227," 4 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",4,2,1,0,1
"Vincent Avenue Athelstone SA 5076",115000,2000-12-12,699,104,"",0,0,0,0,0
"Vincent Avenue Athelstone SA 5076",50000,2001-07-05,704,93,"",0,0,0,0,0
"Wicklow Avenue Athelstone SA 5076",210000,2003-08-09,698,96," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Wicklow Avenue Athelstone SA 5076",171500,2004-06-21,712,100," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Wicklow Avenue Athelstone SA 5076",225000,2003-11-28,718,101," 3 Beds, 1 Car Spaces, 2 Lock Up Garages",3,0,1,2,0
"Wistaria Grove Athelstone SA 5076",4e+05,2001-09-17,1140,495," 4 Beds, 4 Baths, 4 Car Spaces, 4 Lock Up Garages",4,4,4,4,0
"Woodlands Road Athelstone SA 5076",180000,2000-06-06,716,177,"",0,0,0,0,0
"Woodlands Road Athelstone SA 5076",152000,2000-11-16,575,141,"",0,0,0,0,0
"Woodlands Road Athelstone SA 5076",240000,2001-06-28,795,238," 1 Ensuites",0,0,0,0,1
"Addison Avenue Athelstone SA 5076",389000,2009-06-25,662,147," 4 Beds, 2 Baths, 2 Lock Up Garages",4,2,0,2,0
"Addison Avenue Athelstone SA 5076",376000,2009-06-05,657,124," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Addison Avenue Athelstone SA 5076",350000,2008-11-28,623,145," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,1,2,2,1
"Addison Avenue Athelstone SA 5076",345000,2008-06-05,695,160," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Addison Avenue Athelstone SA 5076",766000,2008-01-13,2010,266," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Adela Crescent Athelstone SA 5076",615000,2008-06-27,729,362," 4 Beds, 2 Baths, 4 Lock Up Garages, 1 Ensuites",4,2,0,4,1
"Adela Crescent Athelstone SA 5076",462000,2006-09-22,703,307," 4 Beds, 3 Baths, 2 Car Spaces, 1 Lock Up Garages",4,3,2,1,0
"Alena Street Athelstone SA 5076",257500,2007-05-31,400,103," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Alena Street Athelstone SA 5076",296000,2006-10-10,594,136," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Anna Court Athelstone SA 5076",140000,2008-03-31,568,113,"",0,0,0,0,0
"Antares Way Athelstone SA 5076",350000,2007-02-28,687,163," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Antares Way Athelstone SA 5076",460000,2009-12-21,601,139," 3 Beds, 2 Baths, 4 Car Spaces, 2 Lock Up Garages",3,2,4,2,0
"Antares Way Athelstone SA 5076",510000,2009-11-25,599,185," 5 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",5,2,2,1,1
"Armagh Street Athelstone SA 5076",312000,2008-08-28,695,101," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
