"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Carter Street Magill SA 5072",250000,2004-07-09,708,96," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Carter Street Magill SA 5072",315000,2003-11-26,703,110," 3 Beds, 1 Lock Up Garages",3,0,0,1,0
"Carter Street Magill SA 5072",150000,2000-12-06,761,93," 3 Beds, 2 Baths",3,2,0,0,0
"Carter Street Magill SA 5072",236000,2002-08-20,755,108," 3 Beds, 2 Lock Up Garages",3,0,0,2,0
"Central Avenue Magill SA 5072",242000,2003-10-28,696,96,"",0,0,0,0,0
"Central Avenue Magill SA 5072",3e+05,2003-11-21,362,144," 3 Beds, 2 Baths, 1 Lock Up Garages, 1 Ensuites",3,2,0,1,1
"Central Avenue Magill SA 5072",190000,2000-08-18,536,149," 3 Beds, 1 Baths",3,1,0,0,0
"Central Avenue Magill SA 5072",580000,2004-07-29,841,261," 5 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",5,2,2,0,1
"Central Avenue Magill SA 5072",360000,2004-03-26,912,137," 3 Beds, 2 Baths",3,2,0,0,0
"Central Avenue Magill SA 5072",310000,2004-03-05,718,148," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Central Avenue Magill SA 5072",275000,2003-01-17,863,113," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Central Avenue Magill SA 5072",325000,2003-11-03,704,92," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",3,2,2,1,0
"Central Avenue Magill SA 5072",310000,2003-05-27,716,124,"",0,0,0,0,0
"Central Avenue Magill SA 5072",485000,2006-03-08,1132,139," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Central Avenue Magill SA 5072",550000,2004-05-31,552,223," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Central Avenue Magill SA 5072",187500,2000-12-29,700,109," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Central Avenue Magill SA 5072",522500,2003-10-16,536,243," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Chapel Street Magill SA 5072",427500,2005-05-12,414,170," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Chapel Street Magill SA 5072",290000,2006-05-12,285,99," 2 Beds, 1 Baths, 1 Lock Up Garages",2,1,0,1,0
"Chapel Street Magill SA 5072",325000,2004-12-01,696,120," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Chapel Street Magill SA 5072",381000,2006-01-16,867,140," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Chapel Street Magill SA 5072",405000,2006-08-04,1011,132," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Chapel Street Magill SA 5072",370000,2006-09-11,617,162," 4 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",4,1,2,1,0
"Chapel Street Magill SA 5072",195500,2001-08-29,637,118," 3 Beds",3,0,0,0,0
"Chapel Street Magill SA 5072",270000,2002-12-16,1082,116," 3 Beds, 1 Baths, 3 Car Spaces, 3 Lock Up Garages",3,1,3,3,0
"Chapel Street Magill SA 5072",230000,2003-06-23,631,98,"",0,0,0,0,0
"Chinnery Avenue Magill SA 5072",190000,2003-04-28,722,110,"",0,0,0,0,0
"Chinnery Avenue Magill SA 5072",295000,2005-04-19,718,110," 3 Beds, 2 Baths",3,2,0,0,0
"Chinnery Avenue Magill SA 5072",345000,2006-11-22,693,111," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Chinnery Avenue Magill SA 5072",185000,2001-06-04,687,135," 3 Beds",3,0,0,0,0
"Church Court Magill SA 5072",170000,2001-05-18,380,98," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Church Street Magill SA 5072",420000,2006-08-03,395,167," 1 Ensuites",0,0,0,0,1
"Church Street Magill SA 5072",345000,2005-01-07,862,127," 4 Beds, 1 Baths, 1 Car Spaces",4,1,1,0,0
"Church Street Magill SA 5072",297500,2001-11-12,414,182," 3 Beds, 2 Baths, 2 Lock Up Garages",3,2,0,2,0
"Church Street Magill SA 5072",132250,2001-12-18,641,91," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Colton Avenue Magill SA 5072",245000,2006-12-21,603,85," 2 Beds, 1 Baths, 2 Car Spaces",2,1,2,0,0
"Colton Avenue Magill SA 5072",235000,2003-12-22,340,99," 2 Beds, 1 Baths, 1 Lock Up Garages",2,1,0,1,0
"Colton Avenue Magill SA 5072",162950,2000-07-28,607,95," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Cranbrook Avenue Magill SA 5072",209500,2004-06-01,597,99," 3 Beds",3,0,0,0,0
"Cranbrook Avenue Magill SA 5072",190000,2003-11-25,548,127," 5 Beds",5,0,0,0,0
"Cranbrook Avenue Magill SA 5072",195000,2005-06-15,378,88," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Cuthero Terrace Magill SA 5072",321500,2003-09-15,594,110," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Daly Street Magill SA 5072",125000,2001-03-21,643,92," 3 Beds",3,0,0,0,0
"Davenport Terrace Magill SA 5072",280000,2003-09-26,905,102,"",0,0,0,0,0
"Davenport Terrace Magill SA 5072",273000,2003-06-16,779,110," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Davenport Terrace Magill SA 5072",427500,2005-01-13,408,207," 7 Beds, 3 Baths, 2 Lock Up Garages",7,3,0,2,0
"Davenport Terrace Magill SA 5072",196000,2001-01-15,535,180,"",0,0,0,0,0
"David Street Magill SA 5072",525000,2004-02-12,716,235," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"David Street Magill SA 5072",472000,2004-09-06,759,160," 5 Beds, 2 Baths",5,2,0,0,0
"David Street Magill SA 5072",340000,2005-09-28,753,110," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"David Street Magill SA 5072",1e+05,2005-09-13,753,148,"",0,0,0,0,0
"Derwent Avenue Magill SA 5072",376500,2005-10-20,382,157," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Derwent Avenue Magill SA 5072",382000,2004-08-11,1041,71," 4 Beds, 1 Baths",4,1,0,0,0
"Derwent Avenue Magill SA 5072",450000,2006-10-03,1145,157," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,2,1,1
"Douglas Street Magill SA 5072",335000,2006-03-14,692,108," 4 Beds, 2 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,1,2,1
"Douglas Street Magill SA 5072",310000,2006-05-30,727,110," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Douglas Street Magill SA 5072",262000,2004-01-06,740,92," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Douglas Street Magill SA 5072",176000,2006-09-28,374,101," 2 Beds, 1 Lock Up Garages",2,0,0,1,0
"Douglas Street Magill SA 5072",202000,2001-01-25,836,140,"",0,0,0,0,0
"Douglas Street Magill SA 5072",210000,2002-03-27,589,116," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Douglas Street Magill SA 5072",258000,2004-03-30,644,109," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"East Street Magill SA 5072",535000,2006-08-22,1050,220," 4 Beds, 3 Baths, 2 Car Spaces",4,3,2,0,0
"East Street Magill SA 5072",325000,2006-04-12,790,115," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"East Street Magill SA 5072",310000,2002-08-08,1519,200," 6 Beds, 5 Baths",6,5,0,0,0
"Edward Street Magill SA 5072",170000,2000-01-04,520,144,"",0,0,0,0,0
"Edward Street Magill SA 5072",184000,2000-08-24,528,120," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Edward Street Magill SA 5072",490000,2005-12-15,797,200," 3 Beds, 1 Baths, 2 Car Spaces, 1 Ensuites",3,1,2,0,1
"Edward Street Magill SA 5072",437000,2006-12-18,258,145," 1 Ensuites",0,0,0,0,1
"Edward Street Magill SA 5072",540000,2006-12-15,336,221," 1 Ensuites",0,0,0,0,1
"Edward Street Magill SA 5072",241997,2000-05-26,666,167," 1 Ensuites",0,0,0,0,1
"Edward Street Magill SA 5072",169800,2002-05-30,378,75," 2 Beds, 1 Lock Up Garages",2,0,0,1,0
"Edward Street Magill SA 5072",180000,2002-04-16,695,72,"",0,0,0,0,0
"Edward Street Magill SA 5072",208500,2001-11-27,696,150," 3 Beds, 1 Baths, 3 Lock Up Garages",3,1,0,3,0
"Ellis Street Magill SA 5072",188000,2000-07-21,877,138," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Ellis Street Magill SA 5072",252000,2001-03-30,569,90," 4 Beds, 1 Baths",4,1,0,0,0
"Eton Avenue Magill SA 5072",220000,2003-08-12,732,95," 3 Beds, 1 Baths",3,1,0,0,0
"Eton Avenue Magill SA 5072",375000,2005-05-19,376,174," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 2 Ensuites",3,2,2,2,2
"Eton Avenue Magill SA 5072",408000,2006-06-30,377,174," 3 Beds, 1 Baths, 2 Ensuites",3,1,0,0,2
"Eton Avenue Magill SA 5072",350000,2006-04-28,429,139," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,2,1,1
"Eton Avenue Magill SA 5072",230000,2002-01-15,430,145," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Eton Avenue Magill SA 5072",302000,2005-09-09,366,115," 3 Beds",3,0,0,0,0
