"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Crissoula Avenue Hope Valley SA 5090",256000,2006-04-11,638,124," 3 Beds, 1 Baths, 4 Car Spaces",3,1,4,0,0
"Dargie Avenue Hope Valley SA 5090",195000,2006-06-02,615,107," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Dargie Avenue Hope Valley SA 5090",182000,2005-12-09,615,114,"",0,0,0,0,0
"Dargie Avenue Hope Valley SA 5090",250000,2006-08-14,591,110," 3 Beds, 1 Baths",3,1,0,0,0
"Dargie Avenue Hope Valley SA 5090",151000,2003-02-20,623,96," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Deakin Avenue Hope Valley SA 5090",315000,2006-05-26,651,177," 4 Beds, 1 Baths, 3 Car Spaces, 1 Ensuites",4,1,3,0,1
"Deakin Avenue Hope Valley SA 5090",148000,2000-12-21,642,126,"",0,0,0,0,0
"Deakin Avenue Hope Valley SA 5090",240000,2002-02-28,672,213," 4 Beds, 1 Ensuites",4,0,0,0,1
"Dobell Court Hope Valley SA 5090",108000,2000-06-07,806,96,"",0,0,0,0,0
"Doradus Avenue Hope Valley SA 5090",227000,2005-08-10,626,104," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Doradus Avenue Hope Valley SA 5090",125000,2000-03-14,662,148,"",0,0,0,0,0
"Doradus Avenue Hope Valley SA 5090",190000,2002-07-29,631,183," 3 Beds, 2 Lock Up Garages, 1 Ensuites",3,0,0,2,1
"Doradus Avenue Hope Valley SA 5090",152000,2003-03-03,697,129," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Doradus Avenue Hope Valley SA 5090",201000,2003-08-14,696,129," 3 Beds",3,0,0,0,0
"Eringa Avenue Hope Valley SA 5090",250000,2003-09-16,708,153," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Eringa Avenue Hope Valley SA 5090",115000,2001-03-26,705,112," 3 Beds",3,0,0,0,0
"Fisher Street Hope Valley SA 5090",225500,2004-08-05,685,125," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Fisher Street Hope Valley SA 5090",201300,2002-04-19,699,201," 3 Beds, 1 Car Spaces, 1 Ensuites",3,0,1,0,1
"Gill Court Hope Valley SA 5090",185000,2003-07-28,791,124," 3 Beds",3,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",110000,2002-03-21,717,106," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Grand Junction Road Hope Valley SA 5090",130000,2002-05-10,611,111," 3 Beds, 1 Baths",3,1,0,0,0
"Grand Junction Road Hope Valley SA 5090",122500,2001-12-27,602,107," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Grand Junction Road Hope Valley SA 5090",265000,2002-06-27,1858,136,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",190000,2005-08-25,696,123," 3 Beds, 1 Baths, 3 Car Spaces, 2 Lock Up Garages",3,1,3,2,0
"Grand Junction Road Hope Valley SA 5090",86500,2001-06-21,774,98," 2 Beds, 2 Baths",2,2,0,0,0
"Grand Junction Road Hope Valley SA 5090",67000,2002-04-16,761,98," 3 Beds, 1 Baths",3,1,0,0,0
"Grand Junction Road Hope Valley SA 5090",96000,2003-06-05,732,98,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",154000,2001-12-20,1096,160,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",2e+05,2005-07-22,761,118," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Grand Junction Road Hope Valley SA 5090",138000,2002-09-20,780,98," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Grand Junction Road Hope Valley SA 5090",433000,2006-08-14,NA,223," 4 Beds, 2 Baths, 4 Car Spaces, 1 Ensuites",4,2,4,0,1
"Grand Junction Road Hope Valley SA 5090",110000,2000-04-20,720,130," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Grand Junction Road Hope Valley SA 5090",171250,2003-03-28,710,142," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Grand Junction Road Hope Valley SA 5090",240000,2004-01-06,714,84," 2 Beds",2,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",60000,2006-04-21,1205,165," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"Grand Junction Road Hope Valley SA 5090",145000,2001-04-06,300,135," 4 Beds, 1 Baths, 2 Car Spaces, 1 Ensuites",4,1,2,0,1
"Grand Junction Road Hope Valley SA 5090",149950,2002-05-10,349,98," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Grand Junction Road Hope Valley SA 5090",150000,2006-08-08,699,106," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Grand Junction Road Hope Valley SA 5090",240500,2005-06-15,1012,93," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Grand Junction Road Hope Valley SA 5090",225000,2004-07-28,709,126," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Grand Junction Road Hope Valley SA 5090",150000,2006-07-07,612,90," 2 Beds, 1 Baths, 3 Car Spaces",2,1,3,0,0
"Grand Junction Road Hope Valley SA 5090",3e+05,2006-09-29,1359,100,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",230000,2005-08-28,1038,166," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Grand Junction Road Hope Valley SA 5090",277700,2006-10-30,1011,156," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Grand Junction Road Hope Valley SA 5090",240000,2000-08-16,3968,163,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",137950,2001-01-05,698,140,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",216000,2006-10-12,824,126," 3 Beds, 1 Baths",3,1,0,0,0
"Grand Junction Road Hope Valley SA 5090",270000,2006-04-28,927,163," 3 Beds, 1 Baths, 4 Car Spaces",3,1,4,0,0
"Grand Junction Road Hope Valley SA 5090",190000,2005-05-02,713,117,"",0,0,0,0,0
"Grand Junction Road Hope Valley SA 5090",325000,2006-11-23,706,196," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Grand Junction Road Hope Valley SA 5090",205000,2004-03-19,709,119," 3 Beds, 1 Baths",3,1,0,0,0
"Grand Junction Road Hope Valley SA 5090",160000,2002-06-26,723,126," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Grand Junction Road Hope Valley SA 5090",2e+05,2002-05-06,1072,105," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Grand Junction Road Hope Valley SA 5090",1e+06,2006-04-24,4069,172," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Green Road Hope Valley SA 5090",242000,2003-11-21,695,179," 4 Beds, 2 Baths, 1 Ensuites",4,2,0,0,1
"Green Road Hope Valley SA 5090",225000,2003-02-20,682,165," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Green Road Hope Valley SA 5090",160000,2002-11-20,692,125,"",0,0,0,0,0
"Green Road Hope Valley SA 5090",174000,2002-10-04,638,105," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Gum Tree Drive Hope Valley SA 5090",177500,2003-12-31,257,99," 2 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",2,1,2,2,0
"Gum Tree Drive Hope Valley SA 5090",260000,2004-10-08,716,135," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Gum Tree Drive Hope Valley SA 5090",210000,2006-03-16,708,107," 3 Beds, 1 Baths",3,1,0,0,0
"Hancock Road Hope Valley SA 5090",185000,2006-08-29,745,114," 3 Beds",3,0,0,0,0
"Hancock Road Hope Valley SA 5090",161000,2001-03-29,1334,161," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Headingley Street Hope Valley SA 5090",204000,2001-12-21,751,181," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Headingley Street Hope Valley SA 5090",230000,2005-09-02,745,118," 4 Beds",4,0,0,0,0
"Hele Court Hope Valley SA 5090",165000,2002-08-02,635,160," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Heysen Avenue Hope Valley SA 5090",135000,2000-03-31,612,143," 2 Beds, 1 Baths",2,1,0,0,0
"Heysen Avenue Hope Valley SA 5090",60000,2003-10-27,639,123," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Heysen Avenue Hope Valley SA 5090",175000,2003-11-21,627,132," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Heysen Avenue Hope Valley SA 5090",97000,2001-09-11,605,135," 2 Baths, 2 Lock Up Garages",0,2,0,2,0
"Heysen Avenue Hope Valley SA 5090",114000,2001-01-03,612,165,"",0,0,0,0,0
"Heysen Avenue Hope Valley SA 5090",186000,2004-07-27,798,143," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",4,1,2,2,0
"Heysen Avenue Hope Valley SA 5090",110000,2003-02-19,639,170,"",0,0,0,0,0
"Heysen Avenue Hope Valley SA 5090",215000,2005-06-09,588,115," 3 Beds, 1 Baths",3,1,0,0,0
"Heysen Avenue Hope Valley SA 5090",266000,2006-09-01,589,147," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Heysen Avenue Hope Valley SA 5090",240000,2006-10-05,586,125," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Heysen Avenue Hope Valley SA 5090",150000,2001-11-09,604,118," 3 Beds",3,0,0,0,0
"Heysen Avenue Hope Valley SA 5090",275000,2006-05-11,612,144," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Heysen Avenue Hope Valley SA 5090",115000,2000-01-14,582,110,"",0,0,0,0,0
"Heysen Avenue Hope Valley SA 5090",255000,2006-08-10,587,128,"",0,0,0,0,0
"Heysen Avenue Hope Valley SA 5090",271000,2006-05-15,600,148," 3 Beds, 2 Baths",3,2,0,0,0
"Heysen Avenue Hope Valley SA 5090",183500,2003-10-15,600,106," 3 Beds, 2 Baths, 2 Lock Up Garages",3,2,0,2,0
"Heysen Avenue Hope Valley SA 5090",168000,2002-04-19,600,120," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Heysen Avenue Hope Valley SA 5090",186350,2005-01-06,598,97," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Heysen Avenue Hope Valley SA 5090",199000,2004-06-10,677,112," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Heysen Avenue Hope Valley SA 5090",60000,2002-09-09,362,183," 3 Beds, 1 Baths",3,1,0,0,0
"Honeysuckle Drive Hope Valley SA 5090",270000,2004-07-29,780,195," 4 Beds, 2 Baths, 1 Lock Up Garages",4,2,0,1,0
"Honeysuckle Drive Hope Valley SA 5090",265000,2004-09-09,758,160," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
